K_Mz,Mz_dist,brake_energy,e0,e_final,e_peak,e_reduction,max_Mz,max_cmd,mu_mode,mz_flips,note,sat_fraction,settle_s,sign,steer,surface,util_peak,vx0
10000.0,-1500.0,0.36029533751259035,0.030106085381911438,0.06281839382801924,0.12078085665674104,-0.0327123084461078,1207.8085665674105,0.28757346823033586,nominal,0,,0.0,,-1.0,0.06,nominal,0.8734305962254842,15.0
10000.0,1500.0,0.1754145447568351,0.598074705654571,0.5347198099690094,0.7877868759195881,0.06335489568556163,1145.7217764021107,0.2727908991433597,nominal,0,,0.0,,1.0,0.06,nominal,0.9910675163299895,15.0
10000.0,-3000.0,0.01741325314540178,0.1559101847342613,0.11705086216805244,0.1724923434542563,0.03885932256620886,344.3213700733343,0.08198127858888912,nominal,0,,0.0,0.18,-1.0,0.06,nominal,0.9819622392569052,15.0
10000.0,3000.0,0.008243046593695895,0.6192540085188092,1.7543657687677479,0.9550615872275864,-1.1351117602489387,121.19421268378497,0.02885576492471071,nominal,0,,0.0,,1.0,0.06,nominal,0.996542010917344,15.0
10000.0,-5000.0,0.01741325314540178,0.1559101847342613,0.11705086216805244,0.1724923434542563,0.03885932256620886,344.3213700733343,0.08198127858888912,nominal,0,,0.0,0.18,-1.0,0.06,nominal,0.9819622392569052,15.0
10000.0,5000.0,0.008243046593695895,0.6192540085188092,1.7543657687677479,0.9550615872275864,-1.1351117602489387,121.19421268378497,0.02885576492471071,nominal,0,,0.0,,1.0,0.06,nominal,0.996542010917344,15.0
10000.0,-7000.0,0.01741325314540178,0.1559101847342613,0.11705086216805244,0.1724923434542563,0.03885932256620886,344.3213700733343,0.08198127858888912,nominal,0,,0.0,0.18,-1.0,0.06,nominal,0.9819622392569052,15.0
10000.0,7000.0,0.008243046593695895,0.6192540085188092,1.7543657687677479,0.9550615872275864,-1.1351117602489387,121.19421268378497,0.02885576492471071,nominal,0,,0.0,,1.0,0.06,nominal,0.996542010917344,15.0
10000.0,-1500.0,0.6612440122429738,0.0025241163223577584,0.10722456251415366,0.1275007476735102,-0.1047004461917959,1275.0074767351018,0.3035732087464528,nominal,0,,0.0,,-1.0,0.06,nominal,0.8595017049786029,25.0
10000.0,1500.0,0.0,1.0018226412862903,1.801885161426476,1.3065333585394827,-0.8000625201401856,0.0,0.0,nominal,0,,0.0,,1.0,0.06,nominal,0.99699496413082,25.0
10000.0,-3000.0,0.5605968305736106,0.21000430533454856,0.1038881799946541,0.24834693600376873,0.10611612533989445,1261.9594117042354,0.30046652659624656,nominal,0,,0.0,,-1.0,0.06,nominal,0.9800564079188426,25.0
10000.0,3000.0,0.0,0.9492083380560775,1.8439689621173279,1.3287828329404618,-0.8947606240612503,0.0,0.0,nominal,0,,0.0,,1.0,0.06,nominal,0.9970138177999275,25.0
10000.0,-5000.0,0.5605968305736106,0.21000430533454856,0.1038881799946541,0.24834693600376873,0.10611612533989445,1261.9594117042354,0.30046652659624656,nominal,0,,0.0,,-1.0,0.06,nominal,0.9800564079188426,25.0
10000.0,5000.0,0.0,0.9492083380560775,1.8439689621173279,1.3287828329404618,-0.8947606240612503,0.0,0.0,nominal,0,,0.0,,1.0,0.06,nominal,0.9970138177999275,25.0
10000.0,-7000.0,0.5605968305736106,0.21000430533454856,0.1038881799946541,0.24834693600376873,0.10611612533989445,1261.9594117042354,0.30046652659624656,nominal,0,,0.0,,-1.0,0.06,nominal,0.9800564079188426,25.0
10000.0,7000.0,0.0,0.9492083380560775,1.8439689621173279,1.3287828329404618,-0.8947606240612503,0.0,0.0,nominal,0,,0.0,,1.0,0.06,nominal,0.9970138177999275,25.0
10000.0,-1500.0,0.5714197980360157,0.13871509688739703,0.11584572380723657,0.14077734020657356,0.02286937308016046,1161.663839330729,0.2765866284120783,nominal,0,,0.0,,-1.0,0.06,nominal,0.9358764402796351,35.0
10000.0,1500.0,0.0,1.1716314883834509,1.9914309252336098,1.488038013177065,-0.8197994368501589,0.0,0.0,nominal,0,,0.0,,1.0,0.06,nominal,0.9971975346820103,35.0
10000.0,-3000.0,0.6412430442369479,0.07352830324150644,0.11519813254579467,0.2670508266773439,-0.041669829304288225,1357.9658198206935,0.32332519519540326,nominal,0,,0.0,,-1.0,0.06,nominal,0.9842419196697494,35.0
10000.0,3000.0,0.0,1.1208355500791063,1.997720500307181,1.4927586610682553,-0.8768849502280747,0.0,0.0,nominal,0,,0.0,,1.0,0.06,nominal,0.9972015338022564,35.0
10000.0,-5000.0,0.6412430442369479,0.07352830324150644,0.11519813254579467,0.2670508266773439,-0.041669829304288225,1357.9658198206935,0.32332519519540326,nominal,0,,0.0,,-1.0,0.06,nominal,0.9842419196697494,35.0
10000.0,5000.0,0.0,1.1208355500791063,1.997720500307181,1.4927586610682553,-0.8768849502280747,0.0,0.0,nominal,0,,0.0,,1.0,0.06,nominal,0.9972015338022564,35.0
10000.0,-7000.0,0.6412430442369479,0.07352830324150644,0.11519813254579467,0.2670508266773439,-0.041669829304288225,1357.9658198206935,0.32332519519540326,nominal,0,,0.0,,-1.0,0.06,nominal,0.9842419196697494,35.0
10000.0,7000.0,0.0,1.1208355500791063,1.997720500307181,1.4927586610682553,-0.8768849502280747,0.0,0.0,nominal,0,,0.0,,1.0,0.06,nominal,0.9972015338022564,35.0
11000.0,-1500.0,0.35991232726278927,0.030106085381911438,0.07863138942830047,0.12078085665674104,-0.04852530404638904,1328.5894232241515,0.3163308150533694,nominal,0,,0.0,,-1.0,0.06,nominal,0.8734305962254842,15.0
11000.0,1500.0,0.17826838552438368,0.598074705654571,0.5608546601504393,0.786019363607258,0.037220045504131716,1171.267419846647,0.27887319520158266,nominal,0,,0.0,,1.0,0.06,nominal,0.9912149019683842,15.0
11000.0,-3000.0,0.01820106910005237,0.1559101847342613,0.11641731807988345,0.17216011076049098,0.039492866654377845,351.7339471586488,0.0837461778949164,nominal,0,,0.0,0.18,-1.0,0.06,nominal,0.9819622392569052,15.0
11000.0,3000.0,0.009008972405905891,0.6192540085188092,1.7538186531664794,0.9545038518969052,-1.1345646446476703,133.07335166862427,0.03168413134967245,nominal,0,,0.0,,1.0,0.06,nominal,0.9965392987158896,15.0
11000.0,-5000.0,0.01820106910005237,0.1559101847342613,0.11641731807988345,0.17216011076049098,0.039492866654377845,351.7339471586488,0.0837461778949164,nominal,0,,0.0,0.18,-1.0,0.06,nominal,0.9819622392569052,15.0
11000.0,5000.0,0.009008972405905891,0.6192540085188092,1.7538186531664794,0.9545038518969052,-1.1345646446476703,133.07335166862427,0.03168413134967245,nominal,0,,0.0,,1.0,0.06,nominal,0.9965392987158896,15.0
11000.0,-7000.0,0.01820106910005237,0.1559101847342613,0.11641731807988345,0.17216011076049098,0.039492866654377845,351.7339471586488,0.0837461778949164,nominal,0,,0.0,0.18,-1.0,0.06,nominal,0.9819622392569052,15.0
11000.0,7000.0,0.009008972405905891,0.6192540085188092,1.7538186531664794,0.9545038518969052,-1.1345646446476703,133.07335166862427,0.03168413134967245,nominal,0,,0.0,,1.0,0.06,nominal,0.9965392987158896,15.0
11000.0,-1500.0,0.6831473347616291,0.0025241163223577584,0.10047215077957339,0.1275007476735102,-0.09794803445721563,1402.508224408612,0.33393052962109815,nominal,0,,0.0,,-1.0,0.06,nominal,0.8595017049786029,25.0
11000.0,1500.0,0.0,1.0018226412862903,1.801885161426476,1.3065333585394827,-0.8000625201401856,0.0,0.0,nominal,0,,0.0,,1.0,0.06,nominal,0.99699496413082,25.0
11000.0,-3000.0,0.5791432676354235,0.21000430533454856,0.09735441252137758,0.24784434051772725,0.11264989281317098,1389.4002957316864,0.3308095942218301,nominal,0,,0.0,,-1.0,0.06,nominal,0.9800564079188426,25.0
11000.0,3000.0,0.0,0.9492083380560775,1.8439689621173279,1.3287828329404618,-0.8947606240612503,0.0,0.0,nominal,0,,0.0,,1.0,0.06,nominal,0.9970138177999275,25.0
11000.0,-5000.0,0.5791432676354235,0.21000430533454856,0.09735441252137758,0.24784434051772725,0.11264989281317098,1389.4002957316864,0.3308095942218301,nominal,0,,0.0,,-1.0,0.06,nominal,0.9800564079188426,25.0
11000.0,5000.0,0.0,0.9492083380560775,1.8439689621173279,1.3287828329404618,-0.8947606240612503,0.0,0.0,nominal,0,,0.0,,1.0,0.06,nominal,0.9970138177999275,25.0
11000.0,-7000.0,0.5791432676354235,0.21000430533454856,0.09735441252137758,0.24784434051772725,0.11264989281317098,1389.4002957316864,0.3308095942218301,nominal,0,,0.0,,-1.0,0.06,nominal,0.9800564079188426,25.0
11000.0,7000.0,0.0,0.9492083380560775,1.8439689621173279,1.3287828329404618,-0.8947606240612503,0.0,0.0,nominal,0,,0.0,,1.0,0.06,nominal,0.9970138177999275,25.0
11000.0,-1500.0,0.5927451535574938,0.13871509688739703,0.10917950263246268,0.13892080055175585,0.02953559425493435,1204.8958360166735,0.2868799609563508,nominal,0,,0.0,,-1.0,0.06,nominal,0.9358764402796351,35.0
11000.0,1500.0,0.0,1.1716314883834509,1.9914309252336098,1.488038013177065,-0.8197994368501589,0.0,0.0,nominal,0,,0.0,,1.0,0.06,nominal,0.9971975346820103,35.0
11000.0,-3000.0,0.6613383750835021,0.07352830324150644,0.10833703483470367,0.2642066501941115,-0.03480873159319722,1457.4479022282246,0.34701140529243446,nominal,0,,0.0,,-1.0,0.06,nominal,0.9842419196697494,35.0
11000.0,3000.0,0.0,1.1208355500791063,1.997720500307181,1.4927586610682553,-0.8768849502280747,0.0,0.0,nominal,0,,0.0,,1.0,0.06,nominal,0.9972015338022564,35.0
11000.0,-5000.0,0.6613383750835021,0.07352830324150644,0.10833703483470367,0.2642066501941115,-0.03480873159319722,1457.4479022282246,0.34701140529243446,nominal,0,,0.0,,-1.0,0.06,nominal,0.9842419196697494,35.0
11000.0,5000.0,0.0,1.1208355500791063,1.997720500307181,1.4927586610682553,-0.8768849502280747,0.0,0.0,nominal,0,,0.0,,1.0,0.06,nominal,0.9972015338022564,35.0
11000.0,-7000.0,0.6613383750835021,0.07352830324150644,0.10833703483470367,0.2642066501941115,-0.03480873159319722,1457.4479022282246,0.34701140529243446,nominal,0,,0.0,,-1.0,0.06,nominal,0.9842419196697494,35.0
11000.0,7000.0,0.0,1.1208355500791063,1.997720500307181,1.4927586610682553,-0.8768849502280747,0.0,0.0,nominal,0,,0.0,,1.0,0.06,nominal,0.9972015338022564,35.0
12000.0,-1500.0,0.27625443597143967,0.030106085381911438,0.11578547406988285,0.12078085665674104,-0.08567938868797141,1449.3702798808924,0.345088161876403,nominal,0,,0.0,,-1.0,0.06,nominal,0.8734305962254842,15.0
12000.0,1500.0,0.17690982111101952,0.598074705654571,0.62547323527445,0.7856678559787377,-0.027398529619878986,1179.0284536131583,0.28072106038408534,nominal,0,,0.0,,1.0,0.06,nominal,0.9915625755370888,15.0
12000.0,-3000.0,0.017742104748825108,0.1559101847342613,0.11661876141572422,0.1717948166712203,0.03929142331853708,366.7169431391917,0.08731355789028375,nominal,0,,0.0,0.17,-1.0,0.06,nominal,0.9819622392569052,15.0
12000.0,3000.0,0.009766680842571577,0.6192540085188092,1.75321043207286,0.9539640433452073,-1.133956423554051,144.8857328838219,0.034496603067576646,nominal,0,,0.0,,1.0,0.06,nominal,0.9965367132498001,15.0
12000.0,-5000.0,0.017742104748825108,0.1559101847342613,0.11661876141572422,0.1717948166712203,0.03929142331853708,366.7169431391917,0.08731355789028375,nominal,0,,0.0,0.17,-1.0,0.06,nominal,0.9819622392569052,15.0
